x,v
0.339232,1.59886
0.355221,1.56174
0.370838,1.5231
0.386069,1.48297
0.400899,1.44139
0.415313,1.39842
0.429297,1.35409
0.442838,1.30845
0.455922,1.26155
0.468538,1.21344
0.480672,1.16416
0.492314,1.11376
0.503451,1.0623
0.514074,1.00983
0.524173,0.956406
0.533737,0.902076
0.542758,0.846898
0.551227,0.790929
0.559136,0.734224
0.566478,0.676842
0.573246,0.618841
0.579435,0.560278
0.585038,0.501214
0.59005,0.441708
0.594467,0.38182
0.598285,0.321609
0.601501,0.261138
0.604113,0.200465
0.606117,0.139653
0.607514,0.0787621
0.608301,0.0178532
0.60848,-0.0430126
0.60805,-0.103775
0.607012,-0.164372
0.605368,-0.224744
0.603121,-0.284832
0.600273,-0.344574
0.596827,-0.403912
0.592788,-0.462787
0.58816,-0.52114
0.582948,-0.578914
0.577159,-0.636051
0.570799,-0.692495
0.563874,-0.74819
0.556392,-0.803081
0.548361,-0.857114
0.53979,-0.910236
0.530688,-0.962394
0.521064,-1.01354
0.510928,-1.06362
0.500292,-1.11258
0.489166,-1.16039
0.477562,-1.20698
0.465493,-1.25233
0.452969,-1.29637
0.440006,-1.33907
0.426615,-1.3804
0.412811,-1.4203
0.398608,-1.45874
0.384021,-1.49568
0.369064,-1.53109
0.353753,-1.56494
0.338103,-1.59718
0.322132,-1.6278
0.305854,-1.65675
0.289286,-1.68403
0.272446,-1.70959
0.25535,-1.73341
0.238016,-1.75548
0.220461,-1.77577
0.202703,-1.79427
0.184761,-1.81095
0.166651,-1.8258
0.148393,-1.83882
0.130005,-1.84998
0.111505,-1.85928
0.0929125,-1.86671
0.0742454,-1.87227
0.0555227,-1.87595
0.0367632,-1.87775
0.0179858,-1.87767
-0.000790924,-1.87571
-0.019548,-1.87188
-0.0382669,-1.86618
-0.0569287,-1.85862
-0.0755149,-1.84921
-0.0940071,-1.83796
-0.112387,-1.82489
-0.130636,-1.81
-0.148736,-1.79332
-0.166669,-1.77486
-0.184417,-1.75464
-0.201964,-1.73269
-0.219291,-1.70903
-0.236381,-1.68368
-0.253218,-1.65667
-0.269784,-1.62804
-0.286065,-1.5978
-0.302043,-1.566
-0.317703,-1.53267
-0.333029,-1.49783
-0.348008,-1.46153
-0.362623,-1.42381
-0.376861,-1.3847
-0.390708,-1.34424
-0.40415,-1.30248
-0.417175,-1.25946
-0.42977,-1.21523
-0.441922,-1.16982
-0.45362,-1.12329
-0.464853,-1.07568
-0.47561,-1.02704
-0.48588,-0.977426
-0.495655,-0.926883
-0.504923,-0.875464
-0.513678,-0.823221
-0.52191,-0.770207
-0.529612,-0.716475
-0.536777,-0.662081
-0.543398,-0.607079
-0.549469,-0.551525
-0.554984,-0.495475
-0.559939,-0.438986
-0.564329,-0.382114
-0.56815,-0.324917
-0.571399,-0.267452
-0.574073,-0.209777
-0.576171,-0.15195
-0.577691,-0.0940294
-0.578631,-0.0360723
-0.578992,0.0218629
-0.578773,0.0797184
-0.577976,0.137436
-0.576602,0.194959
-0.574652,0.252229
-0.57213,0.30919
-0.569038,0.365785
-0.56538,0.421957
-0.56116,0.477651
-0.556384,0.532812
-0.551056,0.587384
-0.545182,0.641315
-0.538769,0.694551
-0.531823,0.747039
-0.524353,0.798727
-0.516366,0.849565
-0.50787,0.899502
-0.498875,0.94849
-0.48939,0.996481
-0.479425,1.04343
-0.468991,1.08928
-0.458098,1.134
-0.446758,1.17754
-0.434983,1.21987
-0.422784,1.26092
-0.410175,1.30068
-0.397168,1.3391
-0.383777,1.37614
-0.370016,1.41176
-0.355898,1.44594
-0.341439,1.47864
-0.326652,1.50982
-0.311554,1.53947
-0.296159,1.56755
-0.280484,1.59403
-0.264544,1.61889
-0.248355,1.6421
-0.231934,1.66365
-0.215297,1.68352
-0.198462,1.70168
-0.181445,1.71813
-0.164264,1.73283
-0.146936,1.74579
-0.129478,1.757
-0.111908,1.76643
-0.0942434,1.77409
-0.0765025,1.77996
-0.0587029,1.78405
-0.0408623,1.78636
-0.0229987,1.78687
-0.00513003,1.7856
0.0127259,1.78254
0.0305513,1.7777
0.0483283,1.77109
0.0660392,1.76272
0.0836664,1.75259
0.101192,1.74071
0.118599,1.72711
0.135871,1.7118
0.152989,1.69479
0.169936,1.6761
0.186697,1.65575
0.203255,1.63377
0.219593,1.61018
0.235694,1.585
0.251544,1.55826
0.267127,1.52999
0.282427,1.50022
0.297429,1.46897
0.312119,1.43629
0.326482,1.40221
0.340504,1.36676
0.354172,1.32997
0.367471,1.2919
0.38039,1.25256
0.392916,1.21202
0.405036,1.1703
0.416739,1.12746
0.428014,1.08353
0.438849,1.03856
0.449235,0.992601
0.459161,0.945692
0.468618,0.897885
0.477596,0.849228
0.486089,0.799769
0.494086,0.749561
0.501582,0.698653
0.508569,0.647098
0.51504,0.594947
0.520989,0.542253
0.526412,0.489069
0.531302,0.43545
0.535657,0.381449
0.539471,0.32712
0.542742,0.272519
0.545468,0.2177
0.547645,0.162718
0.549272,0.107628
0.550348,0.0524853
0.550873,-0.00265444
0.550846,-0.0577364
0.550269,-0.112706
0.549142,-0.167507
0.547467,-0.222086
0.545246,-0.276389
0.542482,-0.330361
0.539179,-0.383948
0.535339,-0.437098
0.530968,-0.489758
0.52607,-0.541875
0.520652,-0.593398
0.514718,-0.644277
0.508275,-0.69446
0.50133,-0.743898
0.493891,-0.792544
0.485966,-0.840348
0.477562,-0.887264
0.46869,-0.933245
0.459357,-0.978248
0.449575,-1.02223
0.439353,-1.06514
0.428701,-1.10695
0.417632,-1.1476
0.406156,-1.18707
0.394285,-1.22531
0.382032,-1.26229
0.369409,-1.29797
0.356429,-1.33231
0.343106,-1.36529
0.329453,-1.39687
0.315485,-1.42702
0.301214,-1.45572
0.286657,-1.48293
0.271828,-1.50863
0.256742,-1.53279
0.241414,-1.5554
0.22586,-1.57643
0.210096,-1.59586
0.194137,-1.61368
0.178,-1.62987
0.161701,-1.64441
0.145257,-1.65729
0.128684,-1.6685
0.111999,-1.67803
0.095219,-1.68588
0.0783603,-1.69203
0.06144,-1.69648
0.0444752,-1.69923
0.0274829,-1.70028
0.0104801,-1.69963
-0.00651615,-1.69728
-0.0234889,-1.69323
-0.0404212,-1.68749
-0.0572961,-1.68008
-0.0740969,-1.67099
-0.0908068,-1.66024
-0.107409,-1.64783
-0.123887,-1.6338
-0.140225,-1.61814
-0.156407,-1.60088
-0.172416,-1.58204
-0.188236,-1.56163
-0.203852,-1.53969
-0.219249,-1.51622
-0.234412,-1.49127
-0.249324,-1.46484
-0.263973,-1.43698
